frame,raw,normalized,smoothed
0,10.78920238741182,0.0,0.0
1,10.898263700488343,0.0004486827478135817,0.0
2,10.9026044492675,0.0004665407676270239,0.0
3,11.064568638090066,0.0011328681319172096,0.0
4,11.017362995116656,0.0009386621664457046,0.000597350762760704
5,11.130493760173636,0.0014040868078343737,0.0008781681243275787
6,11.031199131850258,0.0009955846046012123,0.000987548495685105
7,11.132935431361915,0.0014141319439794496,0.00117706673095559
8,11.043136190992954,0.0010446941590882366,0.0011594319363897954
9,11.132935431361915,0.0014141319439794496,0.0012545258918965445
10,11.035539880629415,0.0010134426244146543,0.0011763970552126004
11,11.180141074335324,0.0016083379094509545,0.001298947716182549
12,11.243624525230615,0.0018695114492230428,0.0013900236172312676
13,11.337764514378733,0.002256807253927698,0.0016324462361991597
14,11.136190992946297,0.0014275254588395896,0.001635124939171188
15,11.220021703743896,0.001772408466487232,0.0017869181075857033
16,11.126424308193151,0.0013873449142591694,0.0017427195085473462
17,11.21595225176344,0.0017556665729121445,0.0017199505332851667
18,11.117200217037436,0.0013493966221555756,0.0015384684069307422
19,11.243081931633213,0.0018672791967463333,0.001626419154512091
20,11.077048290830163,0.0011842099388809433,0.0015087794489908333
21,11.225447639717856,0.001794730991254093,0.0015902566643898179
22,11.105805751492142,0.0013025193201452606,0.001499627213836441
23,11.242810634834512,0.0018661630705079785,0.0016029805035069219
24,11.785132935431363,0.0040972994209537515,0.002048984548348405
25,11.806022788931102,0.004183241141306132,0.002648790788833443
26,11.646228974498115,0.0035258427869226667,0.002995013147967158
27,11.730602278893116,0.0038729580470470188,0.0035091008933475095
28,11.583288117200226,0.003266901499627288,0.0037892485791713713
29,11.724633749321754,0.003848403269803448,0.0037394693489413108
30,11.602007596310358,0.00334391421007283,0.00357160396269465
31,11.710255018990779,0.003789248579171348,0.0036242851211443863
32,11.582745523602824,0.0032646692471505786,0.003502627361165098
33,11.756918068366787,0.003981222292166143,0.0036454915196728692
34,11.629951166576234,0.0034588752126220833,0.0035675859082365965
35,11.788659793814446,0.004111809062052246,0.0037211648786324796
36,11.809549647314157,0.004197750782404509,0.0038028653192791117
37,11.851600651112307,0.004370750349347508,0.004024081539718498
38,11.673901247965262,0.003639687663233448,0.003955774613931959
39,11.86326641345633,0.004418743777596295,0.004147748326926801
40,11.692620727075422,0.0037167003736791075,0.004068726589252174
41,11.804123711340196,0.004175428257637648,0.004064262084298801
42,11.606619641888216,0.0033628883561246273,0.0038626896856542255
43,11.806294085729775,0.004184357267544369,0.00397162360651641
44,11.68665219750406,0.003692145596435537,0.003826303970284258
45,11.796256104177957,0.004143060596725711,0.0039115760148935785
46,11.634563212154092,0.0034778493586738804,0.003772060235100825
47,11.997015735214319,0.004968994013098872,0.004093281366495674
48,12.35024416711883,0.00642219037542027,0.004540847988070854
49,12.466901790558865,0.006902124657907317,0.00518284380036521
50,12.252034725990228,0.006018152677140411,0.00555786221644815
51,12.444112859468248,0.006808370053886571,0.006223966355490688
52,12.199403147042858,0.005801624186902045,0.006390492390251324
53,12.381985892566462,0.006552777145306256,0.00641660974422852
54,12.234671730873572,0.005946720597886525,0.006225528932224361
55,12.449267498643508,0.006829576452415077,0.006387813687279295
56,12.294085729788378,0.006191152244083409,0.006264370125318662
57,12.483179598480746,0.006969092232207901,0.006497863734379834
58,12.224905046120455,0.005906540053306222,0.006368616315979828
59,12.386326641345619,0.006570635165119698,0.006493399229426461
60,12.362181226261526,0.006471299929907294,0.0064217439249249055
61,12.36570808464461,0.006485809571005789,0.00648067539030938
62,12.21351058057516,0.005859662751295907,0.006258789494126981
63,12.369506239826364,0.006501435338342522,0.006377768551134243
64,12.250406945198051,0.0060114559197104,0.006265932702052382
65,12.412099837221916,0.00667666715776223,0.0063070061476233705
66,12.324199674443832,0.006315042256539383,0.006272852684730089
67,12.481823114487241,0.006963511601016127,0.006493622454674132
68,12.35241454150841,0.006431119385326992,0.0064795592640710265
69,12.466901790558865,0.006902124657907317,0.00665769301171041
70,12.285946825827466,0.006157668456933234,0.006553893271544611
71,12.919153553988053,0.008762707097223522,0.007043426239681438
72,13.128594682582758,0.009624356553223684,0.00757559523012295
73,13.10824742268042,0.009540647085348013,0.008197500770127155
74,13.009495387954416,0.009134377134591445,0.00864395126546398
75,13.112588171459578,0.009558505105161456,0.009324118595109624
76,13.06863809007055,0.009377692654550091,0.009447115706574938
77,13.19994574064026,0.009917897753907593,0.00950582394671172
78,13.092783505154642,0.009477027889762494,0.009493100107594615
79,13.212967986977759,0.009971471813348036,0.009660519043345934
80,13.054259359739547,0.009318537963917874,0.009612525615097216
81,13.238198589256655,0.010075271553513858,0.009752041394889971
82,13.068095496473148,0.009375460402073382,0.009643553924523127
83,13.227346717308734,0.010030626503980136,0.009754273647366658
84,13.056429734129125,0.009327466973824595,0.009625472679461969
85,13.08925664677156,0.009462518248663999,0.009654268736411195
86,13.068095496473148,0.009375460402073382,0.009514306506123098
87,13.14487249050461,0.00969132412752415,0.009577479251213253
88,13.059956592512208,0.00934197661492309,0.009439749273401844
89,13.305208898535,0.010350954734384325,0.009644446825513788
90,12.954964731416169,0.008910035760684712,0.009533950327917932
91,13.09468258274552,0.00948484077343086,0.009555826402189427
92,13.064568638090066,0.009360950760974887,0.009489751728879576
93,13.181226261530128,0.00984088504346205,0.009589533414587367
94,13.65545306565383,0.011791873708083938,0.00987771720932729
95,13.995930548019544,0.013192612137203246,0.010734232484630997
96,13.815246880086818,0.012449272062467402,0.011327118742438306
97,13.969343461747144,0.013083231765845652,0.012071574943412457
98,13.748507867607174,0.01217470500783529,0.012538338936287105
99,13.985349972870324,0.01314908321390788,0.012809780837451896
100,13.853771025501885,0.012607761988311907,0.012692810807673626
101,13.872761801410746,0.01268589082499592,0.012740134560179328
102,13.776994031470423,0.012291898262861136,0.012581867859582426
103,13.974498100922403,0.013104438164374158,0.0127678144908902
104,13.8185024416712,0.012462665577327543,0.012630530963574133
105,13.9864351600651,0.013153547718861182,0.012739688109683988
106,13.880358111774285,0.012717142359669502,0.012745938416618705
107,13.98155181768854,0.01313345744657103,0.012914250253360685
108,14.030113944655454,0.013333244043234308,0.012960011429132712
109,13.98399348887682,0.013143502582716106,0.013096178830210425
110,13.896093326098764,0.012781877681493376,0.013021844822736864
111,14.011665762343995,0.013257347459027005,0.013129885842608362
112,13.940314704286493,0.012963806258343097,0.013095955604962777
113,13.955778621812271,0.013027425453928616,0.013034791887101637
114,13.712696690179058,0.0120273763443741,0.012811566639433239
115,13.919696147585455,0.01287898066422907,0.012830987235980376
